,Player_Name,Stats_Span,Matches_Played,Batting_Innings,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Batting_SR,Hundreds_Scored,Fifties_Scored,Ducks,Bowling_Innings,Balls_Bowled,Maidens,Runs_Given,Wickets_Taken,Best_Figures,Bowling_Average,Economy,Bowling_SR,Five_Wicket_Haul,Ten_Wicket_Haul,Catches_Taken,Stumps
673,MF Manjate,2024-2024,4,1,0,0,0,0.00,0.00,0,0,1,1,6,0,11,0,0,0.00,11.00,0,0,0,1,0
674,MFI Assuncao,2024-2024,1,1,0,13,13,13.00,260.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
675,MG Bracewell,2024-2024,8,6,0,81,27,13.50,100.00,0,0,2,7,144,0,199,6,2/23,33.16,8.29,24.0,0,0,3,0
676,MG Erasmus,2024-2024,13,13,2,363,77,33.00,128.72,0,4,1,12,234,0,245,18,3/7,13.61,6.28,13.0,0,0,2,0
677,MH Cross,2024-2024,11,10,2,212,49,26.50,117.12,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,3,1
678,MJ Ansell,2024-2024,5,3,1,21,12,10.50,105.00,0,0,0,5,120,0,94,4,1/12,23.50,4.70,30.0,0,0,3,0
679,MJ Hay,2024-2024,2,2,0,3,3,1.50,42.85,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,6,1
680,MJ Henry,2024-2024,5,4,2,14,12,7.00,66.66,0,0,0,5,114,0,169,7,2/22,24.14,8.89,16.2,0,0,1,0
681,MJ Humphreys,2024-2024,2,1,1,0,0*,0.00,0.00,0,0,0,2,48,0,58,1,1/30,58.00,7.25,48.0,0,0,1,0
682,MJM Kavana,2024-2024,4,1,0,9,9,9.00,50.00,0,0,0,2,28,0,43,3,2/42,14.33,9.21,9.3,0,0,0,0
683,MM Ali,2024-2024,10,6,0,75,25,12.50,129.31,0,0,0,6,90,0,122,6,2/26,20.33,8.13,15.0,0,0,3,0
684,MM Baig,2024-2024,3,3,0,8,5,2.66,100.00,0,0,1,3,36,0,44,2,1/7,22.00,7.33,18.0,0,0,1,0
685,MNM Aslam,2024-2024,20,12,1,225,51*,20.45,115.97,0,1,1,20,432,1,414,17,3/16,24.35,5.75,25.4,0,0,5,0
686,MO Kitunda,2024-2024,11,10,1,129,45,14.33,90.84,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,1,0
687,MP Breetzke,2024-2024,5,5,1,106,51,26.50,116.48,0,1,0,0,0,0,0,0,0,0.00,0,0,0,0,3,0
688,MR Adair,2024-2024,14,12,2,157,49,15.70,141.44,0,0,1,14,327,0,426,25,4/31,17.04,7.81,13.0,0,0,4,0
689,MR Marsh,2024-2024,16,15,2,357,72*,27.46,143.95,0,1,0,2,36,0,39,2,1/18,19.50,6.50,18.0,0,0,7,0
690,MS Chapman,2024-2024,16,15,4,202,87*,18.36,131.16,0,1,0,0,0,0,0,0,0,0.00,0,0,0,0,5,0
691,MS Diakite,2024-2024,5,5,0,14,10,2.80,36.84,0,0,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
692,MTMMJ Ave,2024-2024,6,6,3,105,44*,35.00,97.22,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,9,2
693,MV Matsau,2024-2024,2,2,1,2,1*,2.00,18.18,0,0,0,1,6,0,7,0,0,0.00,7.00,0,0,0,0,0
694,MW Forde,2024-2024,5,2,1,18,13*,18.00,138.46,0,0,0,5,87,0,124,8,3/27,15.50,8.55,10.8,0,0,4,0
695,Ma Qiancheng,2024-2024,7,4,1,9,7,3.00,27.27,0,0,0,7,141,0,160,10,5/9,16.00,6.80,14.1,1,0,0,0
696,Maaz Khan,2024-2024,10,10,0,203,61,20.30,139.04,0,1,2,2,30,0,37,2,2/24,18.50,7.40,15.0,0,0,3,0
697,Maaz Patel,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
698,Mabsar Abdulla,2024-2024,2,1,0,11,11,11.00,52.38,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
699,Mahedi Hasan,2024-2024,10,5,1,43,19,10.75,95.55,0,0,1,10,219,1,278,4,2/16,69.50,7.61,54.7,0,0,3,0
700,Mahmudullah,2024-2024,20,17,3,322,54,23.00,117.94,0,2,1,10,105,0,123,3,1/1,41.00,7.02,35.0,0,0,5,0
701,Manan Ali,2024-2024,13,11,2,212,47*,23.55,170.96,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,5,1
702,Manan Bashir,2024-2024,3,3,0,35,22,11.66,112.90,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
703,Mandeep Singh,2024-2024,5,4,1,59,31*,19.66,109.25,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,3,0
704,Manish Sharma,2024-2024,4,2,1,0,0*,0.00,0.00,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
705,Manoj Adhikari,2024-2024,4,3,1,17,7,8.50,141.66,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2,1
706,Manpreet Singh,2024-2024,6,5,0,134,53,26.80,142.55,0,2,1,0,0,0,0,0,0,0.00,0,0,0,0,4,0
707,Mansoor Malangzai,2024-2024,4,4,0,86,33,21.50,150.87,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
708,Mazhar Khan,2024-2024,2,1,0,2,2,2.00,20.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
709,Mazharul Islam,2024-2024,5,5,1,54,29,13.50,78.26,0,0,1,2,18,0,36,1,1/29,36.00,12.00,18.0,0,0,1,0
710,Meet Bhavsar,2024-2024,20,20,3,457,59,26.88,128.37,0,3,0,1,18,0,17,0,0,0.00,5.66,0,0,0,8,2
711,Mehidy Hasan Miraz,2024-2024,2,2,1,51,35*,51.00,106.25,0,0,0,2,24,0,53,1,1/7,53.00,13.25,24.0,0,0,2,0
712,Mehran Khan,2024-2024,15,13,0,107,27,8.23,88.42,0,0,3,13,234,2,265,18,3/7,14.72,6.79,13.0,0,0,5,0
713,Merwais Shinwari,2024-2024,6,4,2,13,12,6.50,59.09,0,0,1,6,114,0,135,8,4/31,16.87,7.10,14.2,0,0,2,0
714,Milad Momend,2024-2024,5,3,1,6,6,3.00,35.29,0,0,1,5,96,0,158,5,2/15,31.60,9.87,19.2,0,0,2,0
715,Milind Kumar,2024-2024,12,11,4,172,43*,24.57,96.08,0,0,0,6,84,1,121,6,5/16,20.16,8.64,14.0,1,0,4,0
716,Mirza Ahmed,2024-2024,1,1,1,1,1*,0.00,100.00,0,0,0,1,12,0,18,0,0,0.00,9.00,0,0,0,0,0
717,Mohamed Azzam,2024-2024,17,15,2,109,25,8.38,64.88,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,9,0
718,Mohamed Coulibaly,2024-2024,3,3,0,2,1,0.66,8.69,0,0,1,2,11,0,31,1,1/12,31.00,16.90,11.0,0,0,0,0
719,Mohamed Fadiga,2024-2024,1,1,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
720,Mohamed Ishmath,2024-2024,8,2,0,0,0,0.00,0.00,0,0,2,8,156,0,188,5,2/20,37.60,7.23,31.2,0,0,1,0
721,Mohamed Miuvaan,2024-2024,2,1,0,0,0,0.00,0.00,0,0,1,2,24,0,32,0,0,0.00,8.00,0,0,0,0,0
722,Mohamed Rishwan,2024-2024,6,5,0,39,23,7.80,54.92,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,2,0
723,Mohamed Shafeeq,2024-2024,14,3,0,8,5,2.66,72.72,0,0,1,14,306,1,329,13,3/35,25.30,6.45,23.5,0,0,3,0
724,Mohamed Shiyam,2024-2024,5,4,2,37,25*,18.50,68.51,0,0,1,3,24,0,63,1,1/22,63.00,15.75,24.0,0,0,3,0
